
table_name,column_name,data_type,is_nullable,column_default,foreign_table,foreign_column,policyname,policy_command,policy_condition,with_check,enum_name,enum_value
comments,content,text,NO,null,null,null,Only comment author can update,UPDATE,(auth.uid() = user_id),null,null,null
comments,content,text,NO,null,null,null,Only comment author can delete,DELETE,(auth.uid() = user_id),null,null,null
comments,content,text,NO,null,null,null,Anyone can read comments,SELECT,true,null,null,null
comments,content,text,NO,null,null,null,Anyone can insert comments,INSERT,null,(auth.uid() = user_id),null,null
comments,created_at,timestamp with time zone,YES,now(),null,null,Anyone can insert comments,INSERT,null,(auth.uid() = user_id),null,null
comments,created_at,timestamp with time zone,YES,now(),null,null,Only comment author can delete,DELETE,(auth.uid() = user_id),null,null,null
comments,created_at,timestamp with time zone,YES,now(),null,null,Only comment author can update,UPDATE,(auth.uid() = user_id),null,null,null
comments,created_at,timestamp with time zone,YES,now(),null,null,Anyone can read comments,SELECT,true,null,null,null
comments,id,uuid,NO,gen_random_uuid(),null,null,Anyone can insert comments,INSERT,null,(auth.uid() = user_id),null,null
comments,id,uuid,NO,gen_random_uuid(),null,null,Anyone can read comments,SELECT,true,null,null,null
comments,id,uuid,NO,gen_random_uuid(),null,null,Only comment author can delete,DELETE,(auth.uid() = user_id),null,null,null
comments,id,uuid,NO,gen_random_uuid(),null,null,Only comment author can update,UPDATE,(auth.uid() = user_id),null,null,null
comments,prophecy_id,uuid,YES,null,prophecies,id,Only comment author can delete,DELETE,(auth.uid() = user_id),null,null,null
comments,prophecy_id,uuid,YES,null,prophecies,id,Anyone can read comments,SELECT,true,null,null,null
comments,prophecy_id,uuid,YES,null,prophecies,id,Anyone can insert comments,INSERT,null,(auth.uid() = user_id),null,null
comments,prophecy_id,uuid,YES,null,prophecies,id,Only comment author can update,UPDATE,(auth.uid() = user_id),null,null,null
comments,updated_at,timestamp with time zone,YES,null,null,null,Anyone can read comments,SELECT,true,null,null,null
comments,updated_at,timestamp with time zone,YES,null,null,null,Anyone can insert comments,INSERT,null,(auth.uid() = user_id),null,null
comments,updated_at,timestamp with time zone,YES,null,null,null,Only comment author can update,UPDATE,(auth.uid() = user_id),null,null,null
comments,updated_at,timestamp with time zone,YES,null,null,null,Only comment author can delete,DELETE,(auth.uid() = user_id),null,null,null
comments,user_id,uuid,YES,null,users,id,Anyone can read comments,SELECT,true,null,null,null
comments,user_id,uuid,YES,null,users,id,Anyone can insert comments,INSERT,null,(auth.uid() = user_id),null,null
comments,user_id,uuid,YES,null,users,id,Only comment author can delete,DELETE,(auth.uid() = user_id),null,null,null
